,Apple iPhone 8,Apple iPhone X,Apple iPhone XS,Apple iPhone 11,Apple iPhone 12,Apple iPhone 13
291,381.5257142857143,588.3166666666667,460.78600000000006,629.995,580.3749999999999,
292,379.97,,453.0,644.99,580.3383333333334,
293,379.95500000000004,,439.975,,579.9085714285713,
294,375.27,599.95,445.51666666666665,621.5,579.8140000000001,
295,364.99,599.945,446.8966666666667,637.495,577.764,
296,364.815,594.9575,,639.995,579.505,
297,364.49,590.34875,444.495,636.66,576.95,
298,364.99,579.6533333333333,445.8075,622.66,575.97,
299,374.99,,444.52,639.9925000000001,,
300,369.99,569.99,456.735,609.99,575.2966666666667,
301,369.99,,,614.99,576.62,
302,369.99,,459.83,599.99,572.475,
303,369.99,539.98,459.995,619.99,,
304,372.44,,441.0375,624.6633333333333,557.4200000000001,
305,372.44,516.46,444.0142857142857,623.0,564.1,
306,374.98,514.0,458.71999999999997,611.495,547.635,
307,384.99,504.85461538461544,448.32,619.495,545.89,
308,373.3233333333333,487.99,460.8733333333333,603.2475,553.19,
309,374.99,486.4375,456.16999999999996,602.0,556.0,
310,374.90200000000004,482.98125000000005,467.10857142857145,605.2299999999999,548.4933333333333,
311,374.99,482.1948275862068,468.59400000000005,610.5,556.47,
312,374.72333333333336,462.8933333333334,435.946,605.5,538.99,
313,373.5011111111111,462.50285714285707,430.075,607.0,,
314,367.49,468.93666666666667,428.5371428571429,,519.49,
315,374.99,466.39909090909094,430.2833333333333,,519.49,
316,367.49,463.99,431.22,604.99,539.99,
317,374.945,462.7,423.975,,542.95,
318,374.9,460.70199999999994,418.9875,602.99,,
319,374.99,459.99,,604.99,,
320,374.9,459.4425,416.4075,,521.47,
321,374.54799999999994,452.321,409.8183333333333,602.99,521.47,
322,373.2846666666667,454.9054545454546,402.5,600.99,528.9275,
323,371.18222222222226,458.32666666666665,,593.0,512.66,
324,368.7766666666667,459.91499999999996,399.95,598.0,529.5,
325,368.465,457.69,395.79,596.0,537.3066666666667,
326,369.99,451.86249999999995,390.99285714285713,588.8866666666667,535.99,
327,364.99,456.90833333333336,388.4,579.252,519.98,
328,364.45500000000004,460.855,390.0,582.9825000000001,513.63,
329,364.21000000000004,461.4433333333333,389.0,588.0,,
330,363.79,455.93666666666667,,587.985,524.985,
331,361.395,444.15,386.0,585.3066666666667,459.98,
332,363.84000000000003,449.52200000000005,389.975,592.75,524.7650000000001,
333,361.54,448.95,396.0,589.95,527.095,
334,359.2075,447.95,399.9975,587.995,519.49,
335,360.2533333333334,448.95,407.33,588.6600000000001,517.95,
336,353.8,447.99,397.6,589.33,528.99,
337,358.02000000000004,,392.398,585.7475,532.73,
338,358.5833333333333,,392.8,586.2199999999999,463.98,
339,363.0,450.9671428571428,403.698,584.44,527.3566666666666,
340,357.6,451.3066666666667,397.49,580.315,510.68999999999994,
341,356.46444444444444,452.2966666666667,394.745,576.88,517.3666666666667,
342,361.6666666666667,451.1814285714285,394.245,573.495,488.8966666666667,
343,364.99666666666667,447.1940000000001,384.9766666666667,580.495,487.9,
344,363.596,,382.9225,600.46,493.9,
345,363.67,,381.05454545454546,619.4159999999999,473.51750000000004,
346,364.5566666666667,448.37399999999997,379.4425,634.4449999999999,469.31333333333333,
347,364.32500000000005,446.97,373.0,633.33,505.01,
348,376.6616666666667,445.9366666666667,374.48,640.0,483.35999999999996,
349,399.0,445.29400000000004,377.4875,619.98,504.89,
350,398.66,445.0,376.985,,499.67499999999995,
351,395.77000000000004,443.28999999999996,371.2816666666667,584.49,497.46500000000003,
352,383.065,444.52200000000005,369.95,594.72,480.6233333333333,
353,363.79,444.47,369.764,598.495,485.3325,
354,356.815,,360.9375,606.995,,
355,366.315,445.46500000000003,359.42285714285714,604.99,482.05600000000004,
356,349.99,447.4883333333333,358.16200000000003,602.98,481.1940000000001,
357,359.19,,357.76666666666665,594.99,465.19000000000005,
358,411.66,448.725,,594.9766666666667,455.195,
359,402.495,448.995,352.0,598.2333333333333,,
360,384.5,446.995,355.9533333333333,616.0633333333334,470.24,
361,397.8228571428572,448.81,352.98333333333335,606.495,457.31,
362,411.8333333333333,447.16333333333336,353.46500000000003,599.95,451.89000000000004,
363,383.325,444.45599999999996,352.49,595.65,460.345,
364,386.24,440.0,356.2733333333333,593.9966666666667,449.27799999999996,
365,377.49,436.74666666666667,353.126,,463.07,
366,377.99,434.495,345.24666666666667,595.995,466.42,
367,369.49,,339.1666666666667,593.6433333333333,468.51500000000004,
368,370.3625,,338.7733333333333,589.99,461.035,
369,375.48,427.9225,337.1466666666667,584.2,447.53888888888883,
370,388.3233333333333,424.99,337.0,589.0,471.1766666666667,
371,389.97,413.99,337.322,564.0,459.98,
372,389.97,414.99,335.7357142857143,561.975,471.49,
373,384.28999999999996,,338.0,557.3166666666667,426.99,
374,384.2925,,335.61125,563.225,,
375,385.98,409.71000000000004,328.3333333333333,,,
376,387.49,405.66,327.0,,,
377,380.904,,330.66,,,
378,372.98333333333335,405.48,327.0,560.6666666666666,,
379,374.97,403.27666666666664,325.7425,561.9,,
380,371.778,403.99916666666655,326.56857142857143,,,
381,369.99,394.96250000000003,323.5,552.0,,
382,359.19,,323.5,550.61,,
383,361.89,394.43,,549.0550000000001,,
384,367.0,,,547.99,,
385,367.93,408.2991666666667,327.46000000000004,549.0,,
386,368.395,405.25076923076927,327.4866666666667,548.0,,
387,359.28,405.45250000000004,330.105,551.05,,
388,358.925,408.8888888888889,330.2375,582.26,,
389,368.05833333333334,406.7446153846153,330.745,565.755,,
390,362.53,407.306,335.9766666666667,558.99,,
391,363.655,405.07166666666666,335.32666666666665,,,
392,359.395,405.09777777777776,330.86,,,
393,349.68,,339.675,588.725,,
394,351.9642857142857,399.0,340.37142857142857,585.9383333333333,,
395,349.99285714285713,398.745,342.53749999999997,556.99,,
396,351.994,396.3333333333333,337.2366666666667,562.6583333333333,,
397,347.49,395.5,349.97,565.6633333333333,,
398,350.99333333333334,394.6666666666667,338.27000000000004,561.5,,
399,352.495,391.70000000000005,346.52111111111105,,,
400,354.53,391.735,343.74800000000005,582.5166666666667,,
401,352.395,393.99,347.96500000000003,585.4499999999999,,
402,352.495,394.0,340.6625,568.18,,
403,341.9925,393.9625,345.1975,593.7850000000001,,
404,347.715,392.0,345.975,554.0,,
405,347.4875,404.72,366.65333333333336,579.0,,
406,355.0,400.7286666666666,362.6433333333334,578.0,,
407,349.99,405.2128571428571,346.4775,583.63,,
408,352.33666666666664,407.20750000000004,344.475,558.99,,
409,335.704,419.55428571428575,345.94666666666666,558.95,,
410,314.27,421.16571428571433,345.47,571.99,,
411,341.99,411.2681818181818,346.7275,569.495,,
412,345.5285714285714,417.1014285714286,348.4750000000001,,,
413,353.75333333333333,417.1940000000001,348.4433333333333,579.825,,
414,355.2642857142857,424.99,367.582,572.3266666666667,,
415,358.76666666666665,428.98999999999995,364.62833333333333,581.33,,
416,332.17333333333335,416.0666666666666,343.83799999999997,,,
417,365.3233333333333,427.8471428571428,359.53200000000004,582.91,,
418,342.99,427.4916666666666,376.15600000000006,582.49,,
419,323.995,427.4185714285714,376.3155555555556,585.1,,
420,314.99,430.11199999999997,370.31600000000003,,,
421,324.49,423.538,368.5385714285714,577.95,,
422,314.495,421.558,365.71333333333337,,,
423,322.73249999999996,421.6833333333332,360.96000000000004,577.2833333333334,,
424,323.24,428.4460000000001,365.235,576.4499999999999,,
425,318.19,430.536875,360.262,583.788,,
426,310.0,446.32555555555547,358.57124999999996,581.995,,
427,308.796,433.45625,353.66,591.1583333333333,,
428,309.78499999999997,444.425,361.74,578.875,,
429,309.4925,451.98999999999984,354.5145454545455,583.9633333333334,,
430,309.0,461.65000000000003,351.134,575.95,,
431,302.192,459.27285714285716,344.7025,575.95,,
432,296.6566666666667,449.86125000000004,344.22857142857146,574.45,,
433,314.7425,438.58600000000007,351.8533333333333,,,
434,309.495,446.54666666666657,352.4875,573.2833333333334,,
435,315.28000000000003,448.2252941176469,350.995,573.45,,
436,338.248,447.0676923076922,,576.975,,
437,365.68125,454.63285714285706,,579.182,,
438,358.31666666666666,463.75666666666666,344.98,589.99,,
439,346.19,454.9108333333333,342.44666666666666,585.1500000000001,,
440,360.475,476.10615384615386,342.945,,,
441,370.98333333333335,460.54125,,,,
442,308.4575,468.2275,342.91499999999996,573.93,,
443,318.9625,435.5833333333333,338.79,,,
444,329.99,,337.50499999999994,571.96,,
445,311.745,459.98285714285714,336.47769230769234,569.0,,
446,287.94666666666666,457.4916666666666,335.59666666666664,563.6633333333333,,
447,336.32666666666665,459.84,335.97,565.0,,
448,324.36899999999997,458.3707142857142,338.9866666666667,,,
449,316.91125,462.0,338.18,564.085,,
450,322.7422222222222,465.9871428571428,333.4875,573.99,,
451,312.08875,455.99000000000007,332.99,565.0,,
452,328.3225,458.28599999999994,334.0,607.0,,
453,291.43,467.97,334.2,649.0,,
454,321.716,453.995,330.0,568.9766666666666,,
455,307.6036363636364,460.245,332.5,577.65,,
456,302.6314285714285,,326.95,558.495,,
457,305.695,471.99500000000006,335.0,556.5,,
458,305.389,484.78999999999996,334.6333333333334,555.0,,
459,299.4716666666667,473.74222222222227,334.0,,,
460,299.32500000000005,471.34875000000005,334.6,,,
461,305.43833333333333,488.994,334.5,556.6666666666666,,
462,305.16,466.99,366.0,559.24,,
463,302.644,,367.65000000000003,558.0,,
464,309.158,472.49,377.572,554.735,,
465,303.17538461538464,462.0,379.99,,,
466,304.69500000000005,467.0,,534.495,,
467,297.14,461.99799999999993,408.2033333333334,,,
468,304.8,464.8457142857143,398.16,,,
469,297.4128571428572,463.32666666666665,420.94999999999993,,,
470,296.84857142857146,465.796,413.87600000000003,,,
471,291.525,,371.48,538.6366666666667,,
472,285.505,464.44,,542.2542857142856,,
473,291.0075,459.0,,527.99,,
474,292.762,449.33,357.495,,,
475,296.48,448.355,,,,
476,296.48,,370.16333333333336,,,
477,291.15125,,366.17400000000004,519.8785714285715,,
478,288.2692857142857,439.0,370.26666666666665,512.2175,,
479,288.31333333333333,424.0,363.49,508.41428571428565,,
480,285.0,429.5,367.995,499.97,,
481,287.994,441.995,376.71000000000004,,,
482,287.394,449.0,373.2,498.495,,
483,285.26,,372.16818181818184,,,
484,282.39,,376.13,,,
485,285.0,,365.97400000000005,496.99,,
486,284.158,,340.0,498.0,,
487,284.16333333333336,,,502.56285714285707,,
488,282.25,450.0,358.0,504.3,,
489,282.886,,352.495,504.4750000000001,,
490,282.992,,352.8985714285715,504.0,,
491,280.992,440.0,351.8727272727273,507.95,,
492,276.66,,354.775,507.955,,
493,279.786,489.995,353.5,508.44,,
494,283.178,462.5,,511.28000000000003,,
495,284.25,467.5,357.66,511.19500000000005,,
496,274.6166666666667,466.16,359.475,519.94,,
497,279.63000000000005,464.495,363.31666666666666,515.9057142857143,,
498,268.05,516.0,361.495,516.328,,
499,258.9957142857143,486.54999999999995,357.5,515.8914285714287,,
500,257.81,468.385,359.95,505.99,,
501,259.1457142857143,455.0883333333333,362.99666666666667,505.31333333333333,,
502,259.0816666666667,454.495,357.778,513.2785714285714,,
503,257.9866666666667,456.995,352.9866666666667,514.49,,
504,253.66,,352.33,521.3166666666667,,
505,256.3233333333333,469.41875000000005,356.0,515.3266666666667,,
506,249.66,473.84166666666664,357.0,519.225,,
507,244.49,476.575,,507.6466666666667,,
508,235.0,461.76666666666665,,513.95,,
509,246.70000000000002,468.2514285714286,368.45,506.96000000000004,,
510,239.9275,470.0,362.2866666666667,508.584,,
511,240.667,,356.0,497.0,,
512,238.29500000000002,464.1425,359.96500000000003,518.74,,
513,237.44444444444446,464.4975,,517.3233333333334,,
514,236.37,474.0,,504.99666666666667,,
515,238.99,,356.0,518.996,,
516,237.7711111111111,465.0,359.86,518.9933333333333,,
517,237.69599999999997,467.99,358.0,518.2425000000001,,
518,236.36380952380955,468.6666666666667,359.86,516.28,,
519,235.37600000000003,463.0,359.49,503.60428571428565,,
520,232.6816666666667,461.4,359.0,517.9933333333333,,
521,232.34,461.3233333333333,357.975,511.9440000000001,,
