,Day,iPhone 8,iPhone X,iPhone XS,iPhone 11,iPhone 12,iPhone 13
0,0.0,699.99,899.99,849.99,709.99,829.99,729.99
1,1.0,659.99,921.7579265281378,816.4214020993535,731.9232438922083,804.99,879.5394346661801
2,2.0,699.9899999999999,897.6699590922166,810.102,729.0,804.1831578947368,763.0122057694499
3,3.0,759.99,894.6318704267873,810.9741873861122,744.4257142857151,804.99,764.0676825829339
4,4.0,659.99,896.6895085632008,824.99,721.807325800557,806.2448352914263,921.4644083189824
5,5.0,714.5781723150964,940.3143440966529,809.99,774.495,805.3441176470587,772.4035690943246
6,6.0,659.99,843.5925784444112,810.0662350445244,704.63,803.9307141613449,960.0
7,7.0,672.5053507303061,896.8901716366574,797.0576923076917,745.99,794.5150000000001,776.6507627118651
8,8.0,659.99,888.9388454975456,801.6596870668607,745.99,804.42018373786,769.6710182132172
9,9.0,659.99,977.8806357145388,796.97,754.6316000002766,805.9897427175001,874.2460966589708
10,10.0,659.99,889.4206412985501,799.0832169707302,767.594,804.4620408575098,774.758859422528
11,11.0,724.3233333333334,976.4915232824718,759.99,745.1666909162227,789.66,757.2421251917891
12,12.0,759.99,898.6169534102254,759.98,744.3617183924931,787.49,779.97
13,13.0,694.1366065727707,894.0625261570724,833.3166666666666,934.385,809.99,760.5395204734066
14,14.0,709.99,1009.77,805.9875,805.9966666666666,809.99,757.3923432785485
15,15.0,683.8205247829975,989.2522047368528,810.8266022459043,852.1454801422723,808.0,773.7935565600098
16,16.0,659.99,914.4586844056668,792.49,825.4949999999999,805.0,770.97
17,17.0,659.9891070139954,929.152889276782,792.49,825.495,803.99,768.951700990062
18,18.0,659.99,929.0057804934206,776.495,772.3091974303255,799.99,774.97
19,19.0,659.98,880.0499160577882,828.705,774.495,806.2844108500155,778.97
20,20.0,659.99,883.3943177208067,780.0,781.99,803.6939829631258,773.6366666666667
21,21.0,659.9872862802026,883.9777329089898,793.985,652.86,802.9745204335507,777.97
22,22.0,659.99,918.7937237250271,785.1616666666665,806.7710742900586,804.6597110285196,768.985
23,23.0,659.9831450733715,961.0911412654641,787.98,816.5276150410327,798.3166666666666,753.495
24,24.0,659.98,899.0,779.4244009893083,842.422287784954,809.97,761.9766666666668
25,25.0,659.9799999999999,973.6685082317738,778.7141546953459,813.4385074928186,796.4268172082442,751.99
26,26.0,659.98,956.9867505349282,774.49,842.6436037717418,789.99,749.0
27,27.0,656.7657927506759,892.332799034162,773.99,766.49,799.0,751.99
28,28.0,659.98,964.7698649747077,769.99,869.0,795.7693671953091,748.7475
29,29.0,657.2641502307163,932.5749418247514,739.5458205368404,841.0235200128111,798.0,768.0
30,30.0,659.98,999.77,768.99,869.0,798.0,752.99
31,31.0,659.0,936.1486809489876,764.79,865.0,804.99,762.7819999999999
32,32.0,653.99,880.67787270998,687.49,686.6482400076412,791.8092660572709,772.3133333333334
33,33.0,648.9766666666667,864.6655740111682,673.99,685.6961143742509,789.1071676676353,774.47
34,34.0,648.94,863.9673315456421,669.99,685.6831442908896,792.7923051962346,773.376
35,35.0,646.0500000000001,875.0213198560806,665.7612860565566,687.7780176517185,786.8266666666667,774.3584059285064
36,36.0,644.98,864.8269624543609,668.69,684.3212403842646,789.6121835491865,774.845
37,37.0,644.96,860.595590269454,663.5742857142858,686.0808832196598,799.99,774.4850000000001
38,38.0,644.9733333333334,862.5137443751622,654.98,683.6689791508826,795.7953301245864,774.3233333333334
39,39.0,644.96,876.1482757490003,644.0,679.9900000000001,791.2148050011167,779.47
40,40.0,644.94,888.85,648.4531510819127,694.0249468166921,784.99,779.6366666666667
41,41.0,643.3133333333333,848.99,646.2030715286376,679.99,813.435,778.0418459182686
42,42.0,632.664,849.0,641.0649377878162,679.99,805.9056887926275,789.97
43,43.0,639.3366666666667,854.9568882831411,639.99,679.99,804.7709921950752,779.98
44,44.0,639.44,845.54,640.4433333333333,679.99,800.0,782.8249999999999
45,45.0,659.0,848.99,634.99,679.99,806.3391330714414,779.4849999999999
46,46.0,638.915,851.3755107436235,635.7335139503239,679.99,804.99,781.7375
47,47.0,644.5,862.6566666666668,618.3133333333334,690.2724717901598,798.303659499581,778.201063918775
48,48.0,659.0,837.3521158647433,597.128,713.3233333333334,792.245,788.97
49,49.0,649.99,825.0610018615209,588.95,706.6566666666668,790.2203653806317,783.0
50,50.0,654.495,830.9934653255564,598.0463633495447,709.99,792.245,787.976
51,51.0,650.0,842.7459999999999,624.0533756735216,699.99,794.7827758095813,774.3233333333334
52,52.0,650.01,816.345,598.3811617084876,703.6163197300931,792.1318375315828,786.7000319587597
53,53.0,659.0,830.7633333333333,600.9764262780961,710.6530989798692,809.1233323208256,786.985
54,54.0,644.5,821.655,573.066926356895,688.69,878.8029203984119,792.9866666666667
55,55.0,642.25,833.255,600.4380245864977,689.99,902.173522075506,774.495
56,56.0,639.98,822.8037090884774,579.4785727692567,689.495,808.8335309058984,762.49
57,57.0,639.99,861.5218650469554,636.8880783685598,690.083771811985,791.745,762.5
58,58.0,639.98,878.975,636.1089992570381,690.3028348107806,829.6633333333333,758.8249999999999
59,59.0,635.005,878.99,598.8474358769779,691.4809581833314,823.5161436237216,756.6566666666668
60,60.0,635.02,825.785,623.2573962713508,687.7654257320911,889.99,770.2400180357895
61,61.0,639.985,825.79,609.8996923576269,685.9475,889.99,772.9780000000001
62,62.0,639.94,729.99,538.65,689.0291168491406,889.99,759.49
63,63.0,638.6633333333334,828.4425,538.43,690.7298410282278,932.49,784.1383333333334
64,64.0,633.15,819.3639999999999,552.645,691.0644226680763,933.0,783.65
65,65.0,629.8875,878.94,546.7850000000001,692.0770439999801,933.995,791.985
66,66.0,627.7463636363638,854.2882367718571,544.0,692.9859999999999,934.99,788.6433333333334
67,67.0,624.7529999999999,878.47,542.3833333333333,707.2425000000001,889.99,781.735
68,68.0,608.9200000000001,764.99,543.8925,688.4901572735237,859.99,794.97
69,69.0,608.9733333333334,735.9083437665911,538.99,688.5465700195923,796.6523270929564,784.9833333333332
70,70.0,599.99,701.3630105039161,532.7666666666667,686.2425000000001,782.4145710338136,783.1700000000001
71,71.0,609.0,741.995,536.4975124663864,689.5069565217391,779.99,786.8256962437225
72,72.0,599.99,699.8666708194065,529.5,687.7298855312788,783.3616623267458,784.8291899224951
73,73.0,609.0,687.733399548712,522.9499999999999,686.99,754.99,792.485
74,74.0,604.495,704.8167100988937,521.0075034556779,689.469,757.2506880720141,792.95
75,75.0,604.495,699.99,516.5,689.2671428571429,749.99,794.97
